Agent_Persona,Idea_Category_Code,Idea_Category_Full_Name,Stage,Question_ID,Question_Relevance,Specific_Question_Prompt
Idea Enquirer AI,Prc,Process Innovation / Efficiency,3. Solution Outline & Implementation Approach,Q11,General,"How could you create a small-scale pilot, prototype, or experiment to test the core assumptions of your idea?"
Idea Enquirer AI,Prc,Process Innovation / Efficiency,3. Solution Outline & Implementation Approach,Q12,General,"What does a successful outcome or ""done"" look like for the initial implementation or pilot?"
Idea Enquirer AI,Prc,Process Innovation / Efficiency,3. Solution Outline & Implementation Approach,Q-Prc3,Category-Specific,"What tools, technologies (e.g., automation, AI), or methods (e.g., Lean, Six Sigma) could be used?"
Idea Enquirer AI,BM,Business Model Innovation,1. Concept Definition & Scope,Q1,General,"Describe your idea in a sentence or two. What is its primary goal?"
Idea Enquirer AI,BM,Business Model Innovation,1. Concept Definition & Scope,Q2,General,"Who are the primary users or beneficiaries of this idea?"
Idea Enquirer AI,BM,Business Model Innovation,1. Concept Definition & Scope,Q3,General,"What is the current state or existing solution (if any)? How is your idea different or better?"
Idea Enquirer AI,BM,Business Model Innovation,1. Concept Definition & Scope,Q4,General,"What are the key features or components of your idea as you currently envision them?"
Idea Enquirer AI,BM,Business Model Innovation,1. Concept Definition & Scope,Q-BM1,Category-Specific,"Are you proposing a new way for the organization to create, deliver, or capture value?"
Idea Enquirer AI,BM,Business Model Innovation,2. Opportunity & Impact Analysis,Q5,General,"What is the potential impact or value if this idea is successfully implemented (e.g., revenue, cost savings, efficiency, user satisfaction, societal benefit)?"
Idea Enquirer AI,BM,Business Model Innovation,2. Opportunity & Impact Analysis,Q6,General,"How would you measure the success of this idea? What are the key metrics?"
Idea Enquirer AI,BM,Business Model Innovation,2. Opportunity & Impact Analysis,Q7,General,"What are the potential risks or challenges in implementing this idea?"
Idea Enquirer AI,BM,Business Model Innovation,2. Opportunity & Impact Analysis,Q8,General,"Are there any known competitors or similar solutions? If so, what is your unique selling proposition?"
Idea Enquirer AI,BM,Business Model Innovation,2. Opportunity & Impact Analysis,Q-BM2,Category-Specific,"What is the strategic rationale for this new business model? What market shift or opportunity does it leverage?"
Idea Enquirer AI,BM,Business Model Innovation,3. Solution Outline & Implementation Approach,Q9,General,"What resources (e.g., team, budget, technology, expertise) would be essential to develop and implement this idea?"
Idea Enquirer AI,BM,Business Model Innovation,3. Solution Outline & Implementation Approach,Q10,General,"What would be the first few steps to explore or develop this idea further?"
Idea Enquirer AI,BM,Business Model Innovation,3. Solution Outline & Implementation Approach,Q11,General,"How could you create a small-scale pilot, prototype, or experiment to test the core assumptions of your idea?"
Idea Enquirer AI,BM,Business Model Innovation,3. Solution Outline & Implementation Approach,Q12,General,"What does a successful outcome or ""done"" look like for the initial implementation or pilot?"
Idea Enquirer AI,BM,Business Model Innovation,3. Solution Outline & Implementation Approach,Q-BM3,Category-Specific,"How would you test the key assumptions of this business model on a small scale?"
Idea Enquirer AI,Tch,Technological Innovation,1. Concept Definition & Scope,Q1,General,"Describe your idea in a sentence or two. What is its primary goal?"
Idea Enquirer AI,Tch,Technological Innovation,1. Concept Definition & Scope,Q2,General,"Who are the primary users or beneficiaries of this idea?"
Idea Enquirer AI,Tch,Technological Innovation,1. Concept Definition & Scope,Q3,General,"What is the current state or existing solution (if any)? How is your idea different or better?"
Idea Enquirer AI,Tch,Technological Innovation,1. Concept Definition & Scope,Q4,General,"What are the key features or components of your idea as you currently envision them?"
Idea Enquirer AI,Tch,Technological Innovation,1. Concept Definition & Scope,Q-Tch1,Category-Specific,"What new technology (e.g., AI, IoT, blockchain, new material) are you proposing to develop or apply?"
Idea Enquirer AI,Tch,Technological Innovation,2. Opportunity & Impact Analysis,Q5,General,"What is the potential impact or value if this idea is successfully implemented (e.g., revenue, cost savings, efficiency, user satisfaction, societal benefit)?"
Idea Enquirer AI,Tch,Technological Innovation,2. Opportunity & Impact Analysis,Q6,General,"How would you measure the success of this idea? What are the key metrics?"
Idea Enquirer AI,Tch,Technological Innovation,2. Opportunity & Impact Analysis,Q7,General,"What are the potential risks or challenges in implementing this idea?"
Idea Enquirer AI,Tch,Technological Innovation,2. Opportunity & Impact Analysis,Q8,General,"Are there any known competitors or similar solutions? If so, what is your unique selling proposition?"
Idea Enquirer AI,Tch,Technological Innovation,2. Opportunity & Impact Analysis,Q-Tch2,Category-Specific,"What is the potential competitive advantage or unique capability this technology offers?"
Idea Enquirer AI,Tch,Technological Innovation,3. Solution Outline & Implementation Approach,Q9,General,"What resources (e.g., team, budget, technology, expertise) would be essential to develop and implement this idea?"
Idea Enquirer AI,Tch,Technological Innovation,3. Solution Outline & Implementation Approach,Q10,General,"What would be the first few steps to explore or develop this idea further?"
Idea Enquirer AI,Tch,Technological Innovation,3. Solution Outline & Implementation Approach,Q11,General,"How could you create a small-scale pilot, prototype, or experiment to test the core assumptions of your idea?"
Idea Enquirer AI,Tch,Technological Innovation,3. Solution Outline & Implementation Approach,Q12,General,"What does a successful outcome or ""done"" look like for the initial implementation or pilot?"
Idea Enquirer AI,Tch,Technological Innovation,3. Solution Outline & Implementation Approach,Q-Tch3,Category-Specific,"What research, development, or integration efforts are needed?"
Idea Enquirer AI,Mkt,Marketing Innovation,1. Concept Definition & Scope,Q1,General,"Describe your idea in a sentence or two. What is its primary goal?"
Idea Enquirer AI,Mkt,Marketing Innovation,1. Concept Definition & Scope,Q2,General,"Who are the primary users or beneficiaries of this idea?"
Idea Enquirer AI,Mkt,Marketing Innovation,1. Concept Definition & Scope,Q3,General,"What is the current state or existing solution (if any)? How is your idea different or better?"
Idea Enquirer AI,Mkt,Marketing Innovation,1. Concept Definition & Scope,Q4,General,"What are the key features or components of your idea as you currently envision them?"
Idea Enquirer AI,Mkt,Marketing Innovation,1. Concept Definition & Scope,Q-Mkt1,Category-Specific,"Are you proposing a new marketing strategy, channel, campaign, or tool?"
Idea Enquirer AI,Mkt,Marketing Innovation,2. Opportunity & Impact Analysis,Q5,General,"What is the potential impact or value if this idea is successfully implemented (e.g., revenue, cost savings, efficiency, user satisfaction, societal benefit)?"
Idea Enquirer AI,Mkt,Marketing Innovation,2. Opportunity & Impact Analysis,Q6,General,"How would you measure the success of this idea? What are the key metrics?"
Idea Enquirer AI,Mkt,Marketing Innovation,2. Opportunity & Impact Analysis,Q7,General,"What are the potential risks or challenges in implementing this idea?"
Idea Enquirer AI,Mkt,Marketing Innovation,2. Opportunity & Impact Analysis,Q8,General,"Are there any known competitors or similar solutions? If so, what is your unique selling proposition?"
Idea Enquirer AI,Mkt,Marketing Innovation,2. Opportunity & Impact Analysis,Q-Mkt2,Category-Specific,"What are the expected outcomes (e.g., increased brand awareness, lead generation, sales, customer engagement)?"
Idea Enquirer AI,Mkt,Marketing Innovation,3. Solution Outline & Implementation Approach,Q9,General,"What resources (e.g., team, budget, technology, expertise) would be essential to develop and implement this idea?"
Idea Enquirer AI,Mkt,Marketing Innovation,3. Solution Outline & Implementation Approach,Q10,General,"What would be the first few steps to explore or develop this idea further?"
Idea Enquirer AI,Mkt,Marketing Innovation,3. Solution Outline & Implementation Approach,Q11,General,"How could you create a small-scale pilot, prototype, or experiment to test the core assumptions of your idea?"
Idea Enquirer AI,Mkt,Marketing Innovation,3. Solution Outline & Implementation Approach,Q12,General,"What does a successful outcome or ""done"" look like for the initial implementation or pilot?"
Idea Enquirer AI,Mkt,Marketing Innovation,3. Solution Outline & Implementation Approach,Q-Mkt3,Category-Specific,"What are the key channels or platforms for this marketing idea?"
Idea Enquirer AI,CX,Customer Experience Innovation,1. Concept Definition & Scope,Q1,General,"Describe your idea in a sentence or two. What is its primary goal?"
Idea Enquirer AI,CX,Customer Experience Innovation,1. Concept Definition & Scope,Q2,General,"Who are the primary users or beneficiaries of this idea?"
Idea Enquirer AI,CX,Customer Experience Innovation,1. Concept Definition & Scope,Q3,General,"What is the current state or existing solution (if any)? How is your idea different or better?"
Idea Enquirer AI,CX,Customer Experience Innovation,1. Concept Definition & Scope,Q4,General,"What are the key features or components of your idea as you currently envision them?"
Idea Enquirer AI,CX,Customer Experience Innovation,1. Concept Definition & Scope,Q-CX1,Category-Specific,"Which specific part of the customer journey or which customer touchpoint are you aiming to enhance?"
Idea Enquirer AI,CX,Customer Experience Innovation,2. Opportunity & Impact Analysis,Q5,General,"What is the potential impact or value if this idea is successfully implemented (e.g., revenue, cost savings, efficiency, user satisfaction, societal benefit)?"
Idea Enquirer AI,CX,Customer Experience Innovation,2. Opportunity & Impact Analysis,Q6,General,"How would you measure the success of this idea? What are the key metrics?"
Idea Enquirer AI,CX,Customer Experience Innovation,2. Opportunity & Impact Analysis,Q7,General,"What are the potential risks or challenges in implementing this idea?"
Idea Enquirer AI,CX,Customer Experience Innovation,2. Opportunity & Impact Analysis,Q8,General,"Are there any known competitors or similar solutions? If so, what is your unique selling proposition?"
Idea Enquirer AI,CX,Customer Experience Innovation,2. Opportunity & Impact Analysis,Q-CX2,Category-Specific,"What is the anticipated impact on customer satisfaction (CSAT), Net Promoter Score (NPS), loyalty, or retention?"
Idea Enquirer AI,CX,Customer Experience Innovation,3. Solution Outline & Implementation Approach,Q9,General,"What resources (e.g., team, budget, technology, expertise) would be essential to develop and implement this idea?"
Idea Enquirer AI,CX,Customer Experience Innovation,3. Solution Outline & Implementation Approach,Q10,General,"What would be the first few steps to explore or develop this idea further?"
Idea Enquirer AI,CX,Customer Experience Innovation,3. Solution Outline & Implementation Approach,Q11,General,"How could you create a small-scale pilot, prototype, or experiment to test the core assumptions of your idea?"
Idea Enquirer AI,CX,Customer Experience Innovation,3. Solution Outline & Implementation Approach,Q12,General,"What does a successful outcome or ""done"" look like for the initial implementation or pilot?"
Idea Enquirer AI,CX,Customer Experience Innovation,3. Solution Outline & Implementation Approach,Q-CX3,Category-Specific,"What changes to processes, systems, or employee training might be needed?"
Idea Enquirer AI,Sus,Sustainability / Environmental,1. Concept Definition & Scope,Q1,General,"Describe your idea in a sentence or two. What is its primary goal?"
Idea Enquirer AI,Sus,Sustainability / Environmental,1. Concept Definition & Scope,Q2,General,"Who are the primary users or beneficiaries of this idea?"
Idea Enquirer AI,Sus,Sustainability / Environmental,1. Concept Definition & Scope,Q3,General,"What is the current state or existing solution (if any)? How is your idea different or better?"
Idea Enquirer AI,Sus,Sustainability / Environmental,1. Concept Definition & Scope,Q4,General,"What are the key features or components of your idea as you currently envision them?"
Idea Enquirer AI,Sus,Sustainability / Environmental,1. Concept Definition & Scope,Q-Sus1,Category-Specific,"How does your idea contribute to environmental sustainability (e.g., reducing waste, emissions, energy consumption, promoting circular economy)?"
Idea Enquirer AI,Sus,Sustainability / Environmental,2. Opportunity & Impact Analysis,Q5,General,"What is the potential impact or value if this idea is successfully implemented (e.g., revenue, cost savings, efficiency, user satisfaction, societal benefit)?"
Idea Enquirer AI,Sus,Sustainability / Environmental,2. Opportunity & Impact Analysis,Q6,General,"How would you measure the success of this idea? What are the key metrics?"
Idea Enquirer AI,Sus,Sustainability / Environmental,2. Opportunity & Impact Analysis,Q7,General,"What are the potential risks or challenges in implementing this idea?"
Idea Enquirer AI,Sus,Sustainability / Environmental,2. Opportunity & Impact Analysis,Q8,General,"Are there any known competitors or similar solutions? If so, what is your unique selling proposition?"
Idea Enquirer AI,Sus,Sustainability / Environmental,2. Opportunity & Impact Analysis,Q-Sus2,Category-Specific,"What are the measurable environmental benefits (e.g., tonnes of CO2 reduced, kWh saved, liters of water saved)?"
Idea Enquirer AI,Sus,Sustainability / Environmental,3. Solution Outline & Implementation Approach,Q9,General,"What resources (e.g., team, budget, technology, expertise) would be essential to develop and implement this idea?"
Idea Enquirer AI,Sus,Sustainability / Environmental,3. Solution Outline & Implementation Approach,Q10,General,"What would be the first few steps to explore or develop this idea further?"
Idea Enquirer AI,Sus,Sustainability / Environmental,3. Solution Outline & Implementation Approach,Q11,General,"How could you create a small-scale pilot, prototype, or experiment to test the core assumptions of your idea?"
Idea Enquirer AI,Sus,Sustainability / Environmental,3. Solution Outline & Implementation Approach,Q12,General,"What does a successful outcome or ""done"" look like for the initial implementation or pilot?"
Idea Enquirer AI,Sus,Sustainability / Environmental,3. Solution Outline & Implementation Approach,Q-Sus3,Category-Specific,"What technologies, materials, or practices are central to this idea?"
Idea Enquirer AI,Soc,Social Innovation,1. Concept Definition & Scope,Q1,General,"Describe your idea in a sentence or two. What is its primary goal?"
Idea Enquirer AI,Soc,Social Innovation,1. Concept Definition & Scope,Q2,General,"Who are the primary users or beneficiaries of this idea?"
Idea Enquirer AI,Soc,Social Innovation,1. Concept Definition & Scope,Q3,General,"What is the current state or existing solution (if any)? How is your idea different or better?"
Idea Enquirer AI,Soc,Social Innovation,1. Concept Definition & Scope,Q4,General,"What are the key features or components of your idea as you currently envision them?"
Idea Enquirer AI,Soc,Social Innovation,1. Concept Definition & Scope,Q-Soc1,Category-Specific,"What specific societal challenge or unmet social need does your idea address (e.g., education, health, poverty, equality)?"
Idea Enquirer AI,Soc,Social Innovation,2. Opportunity & Impact Analysis,Q5,General,"What is the potential impact or value if this idea is successfully implemented (e.g., revenue, cost savings, efficiency, user satisfaction, societal benefit)?"
Idea Enquirer AI,Soc,Social Innovation,2. Opportunity & Impact Analysis,Q6,General,"How would you measure the success of this idea? What are the key metrics?"
Idea Enquirer AI,Soc,Social Innovation,2. Opportunity & Impact Analysis,Q7,General,"What are the potential risks or challenges in implementing this idea?"
Idea Enquirer AI,Soc,Social Innovation,2. Opportunity & Impact Analysis,Q8,General,"Are there any known competitors or similar solutions? If so, what is your unique selling proposition?"
Idea Enquirer AI,Soc,Social Innovation,2. Opportunity & Impact Analysis,Q-Soc2,Category-Specific,"What is the scale of the potential social impact? How many lives could be positively affected?"
Idea Enquirer AI,Soc,Social Innovation,3. Solution Outline & Implementation Approach,Q9,General,"What resources (e.g., team, budget, technology, expertise) would be essential to develop and implement this idea?"
Idea Enquirer AI,Soc,Social Innovation,3. Solution Outline & Implementation Approach,Q10,General,"What would be the first few steps to explore or develop this idea further?"
Idea Enquirer AI,Soc,Social Innovation,3. Solution Outline & Implementation Approach,Q11,General,"How could you create a small-scale pilot, prototype, or experiment to test the core assumptions of your idea?"
Idea Enquirer AI,Soc,Social Innovation,3. Solution Outline & Implementation Approach,Q12,General,"What does a successful outcome or ""done"" look like for the initial implementation or pilot?"
Idea Enquirer AI,Soc,Social Innovation,3. Solution Outline & Implementation Approach,Q-Soc3,Category-Specific,"What partnerships (e.g., NGOs, government, community groups) would be crucial for success?"
Idea Enquirer AI,Reg,Regulatory & Compliance,1. Concept Definition & Scope,Q1,General,"Describe your idea in a sentence or two. What is its primary goal?"
Idea Enquirer AI,Reg,Regulatory & Compliance,1. Concept Definition & Scope,Q2,General,"Who are the primary users or beneficiaries of this idea?"
Idea Enquirer AI,Reg,Regulatory & Compliance,1. Concept Definition & Scope,Q3,General,"What is the current state or existing solution (if any)? How is your idea different or better?"
Idea Enquirer AI,Reg,Regulatory & Compliance,1. Concept Definition & Scope,Q4,General,"What are the key features or components of your idea as you currently envision them?"
Idea Enquirer AI,Reg,Regulatory & Compliance,1. Concept Definition & Scope,Q-Reg1,Category-Specific,"Which specific regulation, compliance requirement, or legal standard does this idea address?"
Idea Enquirer AI,Reg,Regulatory & Compliance,2. Opportunity & Impact Analysis,Q5,General,"What is the potential impact or value if this idea is successfully implemented (e.g., revenue, cost savings, efficiency, user satisfaction, societal benefit)?"
Idea Enquirer AI,Reg,Regulatory & Compliance,2. Opportunity & Impact Analysis,Q6,General,"How would you measure the success of this idea? What are the key metrics?"
Idea Enquirer AI,Reg,Regulatory & Compliance,2. Opportunity & Impact Analysis,Q7,General,"What are the potential risks or challenges in implementing this idea?"
Idea Enquirer AI,Reg,Regulatory & Compliance,2. Opportunity & Impact Analysis,Q8,General,"Are there any known competitors or similar solutions? If so, what is your unique selling proposition?"
Idea Enquirer AI,Reg,Regulatory & Compliance,2. Opportunity & Impact Analysis,Q-Reg2,Category-Specific,"What is the risk or penalty associated with non-compliance in this area?"
Idea Enquirer AI,Reg,Regulatory & Compliance,3. Solution Outline & Implementation Approach,Q9,General,"What resources (e.g., team, budget, technology, expertise) would be essential to develop and implement this idea?"
Idea Enquirer AI,Reg,Regulatory & Compliance,3. Solution Outline & Implementation Approach,Q10,General,"What would be the first few steps to explore or develop this idea further?"
Idea Enquirer AI,Reg,Regulatory & Compliance,3. Solution Outline & Implementation Approach,Q11,General,"How could you create a small-scale pilot, prototype, or experiment to test the core assumptions of your idea?"
Idea Enquirer AI,Reg,Regulatory & Compliance,3. Solution Outline & Implementation Approach,Q12,General,"What does a successful outcome or ""done"" look like for the initial implementation or pilot?"
Idea Enquirer AI,Reg,Regulatory & Compliance,3. Solution Outline & Implementation Approach,Q-Reg3,Category-Specific,"What changes to systems, data management, or reporting are needed?"
Idea Enquirer AI,EE,Employee Experience,1. Concept Definition & Scope,Q1,General,"Describe your idea in a sentence or two. What is its primary goal?"
Idea Enquirer AI,EE,Employee Experience,1. Concept Definition & Scope,Q2,General,"Who are the primary users or beneficiaries of this idea?"
Idea Enquirer AI,EE,Employee Experience,1. Concept Definition & Scope,Q3,General,"What is the current state or existing solution (if any)? How is your idea different or better?"
Idea Enquirer AI,EE,Employee Experience,1. Concept Definition & Scope,Q4,General,"What are the key features or components of your idea as you currently envision them?"
Idea Enquirer AI,EE,Employee Experience,1. Concept Definition & Scope,Q-EE1,Category-Specific,"Which aspect of the employee lifecycle or work environment are you aiming to improve (e.g., onboarding, development, well-being, tools, culture)?"
Idea Enquirer AI,EE,Employee Experience,2. Opportunity & Impact Analysis,Q5,General,"What is the potential impact or value if this idea is successfully implemented (e.g., revenue, cost savings, efficiency, user satisfaction, societal benefit)?"
Idea Enquirer AI,EE,Employee Experience,2. Opportunity & Impact Analysis,Q6,General,"How would you measure the success of this idea? What are the key metrics?"
Idea Enquirer AI,EE,Employee Experience,2. Opportunity & Impact Analysis,Q7,General,"What are the potential risks or challenges in implementing this idea?"
Idea Enquirer AI,EE,Employee Experience,2. Opportunity & Impact Analysis,Q8,General,"Are there any known competitors or similar solutions? If so, what is your unique selling proposition?"
Idea Enquirer AI,EE,Employee Experience,2. Opportunity & Impact Analysis,Q-EE2,Category-Specific,"What is the anticipated impact on employee engagement, satisfaction, retention, or productivity?"
Idea Enquirer AI,EE,Employee Experience,3. Solution Outline & Implementation Approach,Q9,General,"What resources (e.g., team, budget, technology, expertise) would be essential to develop and implement this idea?"
Idea Enquirer AI,EE,Employee Experience,3. Solution Outline & Implementation Approach,Q10,General,"What would be the first few steps to explore or develop this idea further?"
Idea Enquirer AI,EE,Employee Experience,3. Solution Outline & Implementation Approach,Q11,General,"How could you create a small-scale pilot, prototype, or experiment to test the core assumptions of your idea?"
Idea Enquirer AI,EE,Employee Experience,3. Solution Outline & Implementation Approach,Q12,General,"What does a successful outcome or ""done"" look like for the initial implementation or pilot?"
Idea Enquirer AI,EE,Employee Experience,3. Solution Outline & Implementation Approach,Q-EE3,Category-Specific,"What tools, platforms, policy changes, or programs would be part of this idea?"
Idea Enquirer AI,Trn,Transformational Innovation,1. Concept Definition & Scope,Q1,General,"Describe your idea in a sentence or two. What is its primary goal?"
Idea Enquirer AI,Trn,Transformational Innovation,1. Concept Definition & Scope,Q2,General,"Who are the primary users or beneficiaries of this idea?"
Idea Enquirer AI,Trn,Transformational Innovation,1. Concept Definition & Scope,Q3,General,"What is the current state or existing solution (if any)? How is your idea different or better?"
Idea Enquirer AI,Trn,Transformational Innovation,1. Concept Definition & Scope,Q4,General,"What are the key features or components of your idea as you currently envision them?"
Idea Enquirer AI,Trn,Transformational Innovation,1. Concept Definition & Scope,Q-Trn1,Category-Specific,"Does this idea create an entirely new market, value network, or fundamentally change how an existing one operates?"
Idea Enquirer AI,Trn,Transformational Innovation,2. Opportunity & Impact Analysis,Q5,General,"What is the potential impact or value if this idea is successfully implemented (e.g., revenue, cost savings, efficiency, user satisfaction, societal benefit)?"
Idea Enquirer AI,Trn,Transformational Innovation,2. Opportunity & Impact Analysis,Q6,General,"How would you measure the success of this idea? What are the key metrics?"
Idea Enquirer AI,Trn,Transformational Innovation,2. Opportunity & Impact Analysis,Q7,General,"What are the potential risks or challenges in implementing this idea?"
Idea Enquirer AI,Trn,Transformational Innovation,2. Opportunity & Impact Analysis,Q8,General,"Are there any known competitors or similar solutions? If so, what is your unique selling proposition?"
Idea Enquirer AI,Trn,Transformational Innovation,2. Opportunity & Impact Analysis,Q-Trn2,Category-Specific,"What is the scale of the potential new market or value creation? Is this a ""10x"" type of opportunity?"
Idea Enquirer AI,Trn,Transformational Innovation,3. Solution Outline & Implementation Approach,Q9,General,"What resources (e.g., team, budget, technology, expertise) would be essential to develop and implement this idea?"
Idea Enquirer AI,Trn,Transformational Innovation,3. Solution Outline & Implementation Approach,Q10,General,"What would be the first few steps to explore or develop this idea further?"
Idea Enquirer AI,Trn,Transformational Innovation,3. Solution Outline & Implementation Approach,Q11,General,"How could you create a small-scale pilot, prototype, or experiment to test the core assumptions of your idea?"
Idea Enquirer AI,Trn,Transformational Innovation,3. Solution Outline & Implementation Approach,Q12,General,"What does a successful outcome or ""done"" look like for the initial implementation or pilot?"
Idea Enquirer AI,Trn,Transformational Innovation,3. Solution Outline & Implementation Approach,Q-Trn3,Category-Specific,"What would be the very first experiment to test the most critical assumption?"
